information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_3230~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-423~0~0~2~Sim0
InfoAct_id_3231~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-427~0~0~2~Sim0
InfoAct_id_3232~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-431~0~0~2~Sim0
InfoAct_id_3233~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-435~0~0~2~Sim0
InfoAct_id_3234~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-439~0~0~2~Sim0
InfoAct_id_3235~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-443~0~0~2~Sim0
InfoAct_id_3236~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-447~0~0~2~Sim0
InfoAct_id_3237~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-451~0~0~2~Sim0
InfoAct_id_3238~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-455~0~0~2~Sim0
InfoAct_id_3239~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-459~0~0~2~Sim0
InfoAct_id_3240~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-476~0~0~2~Sim0
InfoAct_id_3241~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-480~0~0~2~Sim0
InfoAct_id_3242~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-484~0~0~2~Sim0
InfoAct_id_3243~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-488~0~0~2~Sim0
